filename,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
00002.wav,-262.55286,136.82098,-7.2964735,39.13456,11.583755,-1.965873,-9.3812,14.614886,-4.955146,-15.801055,1.3273939,-11.0333805,-4.752487
00003.wav,-317.9847,159.8314,-26.623785,19.215857,21.553864,-6.198369,13.534012,-0.23813629,2.2644796,8.945551,-17.445744,-3.32191,12.964986
00004.wav,-387.2218,135.07002,7.8578496,33.19155,20.214378,-1.416453,4.876089,-3.513775,0.9142751,-0.7088579,-5.4293475,-1.6141756,-7.761845
00005.wav,-299.7599,114.861275,20.702188,28.96145,14.180071,12.743476,9.839761,3.6693342,5.8772025,3.7430482,-0.060292747,2.1188252,1.8990211
00006.wav,-314.36926,133.26341,2.4807673,36.376617,13.082589,26.907814,14.908328,-10.872147,1.3363101,1.5836303,-8.438725,-2.2209868,-5.153303
00007.wav,-254.6869,110.45226,32.625603,3.3558426,31.311426,8.572396,3.6937764,2.8909812,-0.1455664,-4.1279554,-0.53920144,2.3422394,2.5103378
00008.wav,-316.55237,137.38287,-27.932215,17.985733,14.687266,-7.1057625,-2.6749592,-6.059299,-4.837605,-2.959663,4.8366866,3.9720523,-11.93283
00009.wav,-367.72595,74.64132,16.61769,27.581316,18.39379,4.3380055,-0.7105011,-0.76476485,-10.903774,-8.238956,-4.4944234,-11.65719,-11.8229885
00010.wav,-383.70908,90.068924,22.257593,9.820993,5.4230022,-7.279369,-13.150733,-11.945564,-0.97098225,4.9666452,-1.741498,-7.1310477,-9.93006
00011.wav,-331.5638,126.46421,19.471052,8.226937,14.566188,-19.256832,5.8299217,-19.436403,-11.86431,-11.276166,-5.498813,-10.605293,-2.1126163
00012.wav,-336.27927,104.64994,30.883808,36.316578,11.767051,4.179559,-3.339727,15.082428,5.465192,-1.5767307,-0.77902406,4.1038647,14.082251
00013.wav,-316.35498,154.8298,-20.891264,16.29892,18.992159,-9.521565,1.119982,-2.2724462,-2.074709,-8.384071,-20.626095,-11.165067,-7.038525
00014.wav,-439.25583,110.65188,57.119972,24.129025,11.459814,9.830803,-6.246764,3.5734437,-1.9078381,-8.25771,-4.7966633,-4.3094273,3.1472807
00015.wav,-310.61115,147.24815,-28.736439,18.68156,20.499327,-6.2933574,5.3330903,-4.758619,-3.1264791,-6.5474133,-12.485377,1.8892114,-7.1858215
00016.wav,-373.04413,80.769005,-7.0581436,13.393813,11.014334,-1.7856845,2.1564717,-10.973396,-12.213871,-2.14236,-0.44906786,-3.3927693,-11.580341
00017.wav,-336.49026,122.445175,32.830204,42.966652,6.8631616,9.829615,11.400396,-0.7660729,-5.5176287,-5.7444224,-2.2612092,3.5793226,-7.6914577
00018.wav,-432.15045,105.13912,-6.123229,29.001566,1.9274179,-0.75554174,15.796871,-11.87745,-2.6589823,3.1943555,-7.861432,-1.6873442,-1.4402324
00019.wav,-374.71484,90.90125,20.061796,33.370686,12.526447,20.89199,5.2228866,10.622494,-8.8438,0.00089226273,0.89634085,-3.016881,-9.442544
00020.wav,-313.11438,109.92598,-4.693405,11.237589,-2.7770488,16.29516,-16.775185,-3.5049238,-6.0816145,-0.75242954,-7.7708573,-1.0469878,-2.7790706
00021.wav,-300.1793,179.76917,-14.580635,1.0422336,3.8249187,3.2455633,12.540287,1.407903,1.7285086,-18.06141,-15.185909,10.406251,3.5402274
00022.wav,-364.29538,163.21706,14.663014,3.9879558,17.867304,11.891426,6.358854,-3.809188,-8.501155,-1.581722,0.3002728,-2.683793,-6.7901926
00023.wav,-443.8957,88.69472,13.835453,16.481417,9.646,-6.26518,-0.75360024,0.09343625,-0.8997358,-1.0966494,-4.6440787,-1.5954473,2.0949318
00024.wav,-267.88983,131.89337,23.831755,8.15302,18.975494,11.889381,-2.3939462,24.431108,-4.5650644,8.214446,1.3793724,6.013131,3.0489962
00025.wav,-361.0107,119.84516,27.556717,21.089241,15.211164,1.6657039,-4.0146656,-2.0987911,-2.3910956,2.8549745,0.38950133,4.2410274,0.39755875
00026.wav,-384.0011,157.47969,13.562761,19.465153,14.838908,-18.550879,-10.560265,-1.3625278,-3.614892,-1.4410706,1.3644323,2.6039107,-1.340849
00027.wav,-305.2802,134.728,-25.565962,20.240435,16.585697,-3.1007888,6.754009,-2.8903856,1.240734,-8.220496,-11.217014,2.5950832,-7.480931
00028.wav,-371.60526,115.962845,30.34476,21.867184,11.397853,-1.1939033,-4.6444263,1.2081928,-0.21732832,1.7727776,-2.9944339,3.7953825,2.095654
00029.wav,-326.92267,143.31474,-20.926973,13.498761,13.820741,-7.5613575,3.752218,-4.824956,-2.862069,-7.5850224,-20.409807,-8.619221,-6.1307073
00030.wav,-371.25888,117.97452,0.27622858,26.73984,-3.3910558,20.796413,-5.611397,10.459156,8.241725,-1.4114968,-2.798134,3.1340158,-4.502101
00031.wav,-245.92284,100.43479,-6.4967165,-2.284379,14.6581,17.643515,-4.8816075,-0.5686553,-2.2174904,-10.567069,-20.159243,4.1532993,-0.7555194
00032.wav,-233.15523,98.48484,31.986767,3.0839784,31.951717,7.247305,4.200733,6.79466,3.3179934,-0.49890625,0.48007268,3.4352865,2.110319
00033.wav,-408.5964,107.279335,14.751239,30.54422,15.552032,-10.194495,5.182666,4.373993,-8.936567,-11.776801,-7.3815856,-1.9312286,-9.252027
00034.wav,-353.23502,117.33267,21.234173,14.238266,2.7054129,-20.873327,-11.335002,-13.704672,-16.199406,-10.963192,-6.6866536,-10.369603,-7.857294
00035.wav,-340.4975,145.09755,17.559452,18.12086,12.201264,3.6178913,-6.217791,10.37229,-1.2459999,-15.945717,-6.1437845,-3.487481,-3.2905934
00036.wav,-344.87384,115.86229,1.9666659,21.877321,12.230138,6.2971125,1.3996037,-22.689182,-20.48752,1.0482112,-2.3020868,-6.7401514,3.7831347
00037.wav,-330.09277,101.87169,36.374584,18.910723,-3.3139498,23.582628,-8.19964,1.7774894,-5.054939,-5.8293414,-6.0552244,-4.257051,-1.7830446
00038.wav,-360.9711,112.51859,-15.387133,3.7833564,-7.8078995,-18.123245,-3.185035,-15.921862,-9.249131,-8.737331,-20.06796,-8.652165,-15.359426
00039.wav,-304.49203,185.92635,33.80105,21.307299,7.8806324,4.246994,-0.61950254,-5.211868,-1.2800891,-4.2627773,-4.6062193,-3.4657128,-2.1291952
